,duichanghao,hang,lie,x,y
5247,21,3,35,80793.98,-3953.4
5248,21,3,36,81427.18,-3953.5
5249,21,3,37,82060.38,-3953.6
5250,21,3,38,82693.58,-3953.7
5251,21,3,39,83326.78,-3953.8
5252,21,3,40,83959.98,-3953.9
5253,21,3,41,84593.18,-3954
5254,21,3,42,85226.38,-3954.1
5255,21,3,43,85859.58,-3954.2
5256,21,3,44,86492.78,-3954.3
5257,21,4,1,59266.32,-4228.5
5258,21,4,2,59899.52,-4228.6
5259,21,4,3,60532.72,-4228.7
5260,21,4,4,61165.92,-4228.8
5261,21,4,5,61799.12,-4228.9
5262,21,4,6,62432.32,-4229
5263,21,4,7,63065.52,-4229.1
5264,21,4,8,63698.72,-4229.2
5265,21,4,9,64331.92,-4229.3
5266,21,4,10,64965.12,-4229.4
5267,21,4,11,65598.32,-4229.5
5268,21,4,12,66231.52,-4229.6
5269,21,4,13,66864.72,-4229.7
5270,21,4,14,67497.92,-4229.8
5271,21,4,15,68131.12,-4229.9
5272,21,4,16,68764.32,-4230
5273,21,4,17,69397.52,-4230.1
5274,21,4,18,70030.72,-4230.2
5275,21,4,19,70663.92,-4230.3
5276,21,4,20,71297.12,-4230.4
5277,21,4,21,71930.32,-4230.5
5278,21,4,22,72563.52,-4230.6
5279,21,4,23,73196.72,-4230.7
5280,21,4,24,73829.92,-4230.8
5281,21,4,25,74463.12,-4230.9
5282,21,4,26,75096.32,-4231
5283,21,4,27,75729.52,-4231.1
5284,21,4,28,76362.72,-4231.2
5285,21,4,29,76995.92,-4231.3
5286,21,4,30,77629.12,-4231.4
5287,21,4,31,78262.32,-4231.5
5288,21,4,32,78895.52,-4231.6
5289,21,4,33,79528.72,-4231.7
5290,21,4,34,80161.92,-4231.8
5291,21,4,35,80795.12,-4231.9
5292,21,4,36,81428.32,-4232
5293,21,4,37,82061.52,-4232.1
5294,21,4,38,82694.72,-4232.2
5295,21,4,39,83327.92,-4232.3
5296,21,4,40,83961.12,-4232.4
5297,21,4,41,84594.32,-4232.5
5298,21,4,42,85227.52,-4232.6
5299,21,4,43,85860.72,-4232.7
5300,21,4,44,86493.92,-4232.8
5301,21,5,1,59267.46,-4507
5302,21,5,2,59900.66,-4507.1
5303,21,5,3,60533.86,-4507.2
5304,21,5,4,61167.06,-4507.3
5305,21,5,5,61800.26,-4507.4
5306,21,5,6,62433.46,-4507.5
5307,21,5,7,63066.66,-4507.6
5308,21,5,8,63699.86,-4507.7
5309,21,5,9,64333.06,-4507.8
5310,21,5,10,64966.26,-4507.9
5311,21,5,11,65599.46,-4508
5312,21,5,12,66232.66,-4508.1
